"TSF","species","height","low","high","scenario","Scenario","filter"
69,"Pigl",2.02913316482112,1.98464306126768,2.07318365755918,"CPCRW_hare","Hare","All stands"
69,"Pima",1.95331017576724,1.91522894236223,1.98860597620368,"CPCRW_hare","Hare","All stands"
69,"Potr",1.83921937578527,1.75867886224576,1.92611412747264,"CPCRW_hare","Hare","All stands"
70,"Bene",14.6573430679061,11.0295647631992,17.3314148967916,"CPCRW_hare","Hare","All stands"
70,"Pigl",2.0176077447014,1.97617441658333,2.0588741850831,"CPCRW_hare","Hare","All stands"
70,"Pima",1.8756053295554,1.84074508326574,1.90616907085523,"CPCRW_hare","Hare","All stands"
70,"Potr",1.8011458238635,1.72739648058712,1.87752899463395,"CPCRW_hare","Hare","All stands"
71,"Bene",16.1293585618337,14.4204703666766,18.1252331010501,"CPCRW_hare","Hare","All stands"
71,"Pigl",1.98263477776649,1.9221548801628,2.04421537867575,"CPCRW_hare","Hare","All stands"
71,"Pima",1.9185328043337,1.87404767794143,1.96448824919987,"CPCRW_hare","Hare","All stands"
71,"Potr",1.87477386671776,1.77789059901954,1.9763352832722,"CPCRW_hare","Hare","All stands"
